venue,year,facets,relation,confidence,prerank_rank,cited_by_count,oa_url,title,authors,why,key
ICAIL,2013,fm-in-law|bounded-deontics,example,high,94,29,,Regorous: a business process compliance checker,Guido Governatori; Sidney Shek,Regorous: compliance-by-design business-process compliance checker tool.,conf/icail/GovernatoriS13
ICAIL,1995,intro,prior-art,high,380,29,https://dl.acm.org/doi/pdf/10.1145/222092.222257,The Systematization of Legal Meta-Inference,Hajime Yoshino,Formalizes legal meta-inference (meta-rules over changing legal knowledge) as deductive reasoning,conf/icail/Yoshino95
ICAIL,2005,intro,prior-art,high,893,29,,Computational Law,Nathaniel Love; Michael R. Genesereth,Genesereth's Computational Law: automated reasoning over executable rules/contracts.,conf/icail/LoveG05
ICAIL,2009,intro|cnl,prior-art,high,16,28,,Isomorphism and argumentation,Trevor J. M. Bench-Capon; Thomas F. Gordon,Isomorphism of legal-rule representations to source legislation; explicit isomorphism analysis.,conf/icail/Bench-CaponG09
ICAIL,1995,intro,prior-art,high,403,28,https://dl.acm.org/doi/pdf/10.1145/222092.222245,"Better Language, Better Thought, Better Communication: The A-Hohfeld Language for Legal Analysis",Layman E. Allen; Charles S. Saxon,A-HOHFELD representational language for precise structural interpretation of legal rules,conf/icail/AllenS95
ICAIL,1995,intro,prior-art,med,527,28,https://dl.acm.org/doi/pdf/10.1145/222092.222130,A Constraint-Driven System for Contract Assembly,Aspassia Daskalopulu; Marek J. Sergot,Constraint-driven system modelling document structure for contract assembly,conf/icail/DaskalopuluS95
ICAIL,1991,determinacy-frontier,prior-art,high,337,27,,More IA Needed in AI: Interpretation Assistance for Coping with the Problem of Multiple Structural Interpretations,Layman E. Allen; Charles S. Saxon,Interpretation-assistance system for multiple structural interpretations of legal rules,conf/icail/AllenS91
ICAIL,1989,intro,prior-art,high,224,26,,Hierarchically Organised Formalisations,Tom Routen,Argues statutes have multi-layered logical structure formalizations must mirror,conf/icail/Routen89
ICAIL,2005,bounded-deontics,prior-art,high,264,26,,Permission and Authorization in Normative Multiagent Systems,Guido Boella; Leendert W. N. van der Torre,Distinguishes permission from authorization in normative multiagent systems,conf/icail/BoellaT05
ICAIL,1995,intro|bounded-deontics,prior-art,med,528,25,https://dl.acm.org/doi/pdf/10.1145/222092.222260,New HELIC-II: A Software Tool for Legal Eeasoning,Katsumi Nitta; Masato Shibasaki; Tsuyoshi Sakata; Takahiro Yamaji; Wang Xianchang; Hiroshi Ohsaki; Satoshi Tojo; Iwao Kokubo; T. Anu Suzuki,HELIC-II: typed logic-programming legal reasoner with defeasible priority rules,conf/icail/NittaSSYXOTKS95
ICAIL,1991,determinacy-frontier,prior-art,high,700,25,https://dl.acm.org/doi/pdf/10.1145/112646.112663,Representing and Reasoning About Open-Textured Predicates,Kathryn E. Sanders,CHIRON system representing/reasoning about open-textured predicates in US tax planning; classic open-texture paper.,conf/icail/Sanders91
ICAIL,1987,bounded-deontics,prior-art,high,324,24,https://dl.acm.org/doi/pdf/10.1145/41735.41753,Legal Reasoning in 3-D,Marvin Belzer,"Modal deontic logic 3-D with relative weight between competing norms, PROLOG",conf/icail/Belzer87
ICAIL,2005,bounded-deontics,prior-art,high,353,24,http://dspace.library.uu.nl:8080/handle/1874/19632,Modal logic investigations in the Modal logic investigations in the semantics of counts semantics of counts-as as,Davide Grossi; John-Jules Ch. Meyer; Frank Dignum,"Modal-logic semantics of counts-as, foundational to normative-system/deontic representation",conf/icail/GrossiMD05
ICAIL,1989,determinacy-frontier,prior-art,high,98,23,https://dl.acm.org/doi/pdf/10.1145/74014.74035,Issue Spotting in a System for Searching Interpretation Spaces,Thomas F. Gordon,Issue-spotting by searching interpretation spaces of legal rules.,conf/icail/Gordon89
ICAIL,1987,intro,prior-art,high,147,23,,Oblog-2: A Hybrid Knowledge Representation System for Defeasible Reasoning,Thomas F. Gordon,Oblog-2: hybrid KR system with Horn-clause defeasible rules explicitly designed for modeling legal domains,conf/icail/Gordon87
ICAIL,1993,intro|determinacy-frontier,prior-art,high,359,23,,The Use of Meta-Rules in Rule Based Legal Computer Systems,Uri J. Schild; Shai Herzog,"Meta-rules mechanism atop formalized legislation, addressing intrinsic vagueness of legal rules",conf/icail/SchildH93
ICAIL,1995,bounded-deontics,prior-art,high,442,23,https://dl.acm.org/doi/pdf/10.1145/222092.222241,Solving Normative Conflicts by Merging Roles,Laurence Cholvy; Frédéric Cuppens,Deontic conflict resolution via role priority merging,conf/icail/CholvyC95
ICAIL,1991,intro,prior-art,high,404,22,,Indian Central Civil Service Pension Rules: A Case Study in Logic Programming Applied to Regulations,Marek J. Sergot; A. S. Kamble; K. K. Bajaj,"Classic logic-programming formalization of Indian pension regulations, executable as a program",conf/icail/SergotKB91
ICAIL,1989,intro,prior-art,med,766,20,,ASSYST - Computer Support for Guideline Sentencing,Eric Simon; Gerry Gaes,ASSYST formalizes US federal sentencing guideline determinate-sentencing logic into rigorous programming logic.,conf/icail/SimonG89
ICAIL,2013,intro|fm-in-law,prior-art,high,633,19,https://purehost.bath.ac.uk/ws/files/17548286/icail_CRC_submitted.pdf,A model-based approach to the automatic revision of secondary legislation,Tingting Li; Tina Balke; Marina De Vos; Julian A. Padget; Ken Satoh,Formal model + ASP/ILP for detecting and revising legal conflicts in secondary legislation.,conf/icail/LiBVPS13
ICAIL,2013,bounded-deontics,prior-art,high,42,18,http://hdl.handle.net/10072/58750,Legal contractions: a logical analysis,Guido Governatori; Antonino Rotolo; Francesco Olivieri; Simone Scannapieco,"Legal contraction (rule removal/exception/priority change) in Defeasible Deontic Logic, AGM-style.",conf/icail/GovernatoriROS13
ICAIL,2011,bounded-deontics|intro,prior-art,high,77,16,,Modelling temporal legal rules,Monica Palmirani; Guido Governatori; Giuseppe Contissa,Extends LKIF-rules with temporal dimensions + defeasible logic for legal rule modelling.,conf/icail/PalmiraniGC11
ICAIL,2013,fm-in-law|bounded-deontics,prior-art,high,51,15,,Temporal deontic action logic for the verification of compliance to norms in ASP,Laura Giordano; Alberto Martelli; Daniele Theseider Dupré,Deontic temporal ASP logic verifying business-process compliance via bounded model checking.,conf/icail/GiordanoMD13
ICAIL,2017,bounded-deontics,prior-art,high,57,15,https://zenodo.org/record/3502305,The pragmatic oddity in norm-based deontic logics,Xavier Parent; Leendert W. N. van der Torre,"Pragmatic-oddity CTD paradox in norm-based deontic logics, sound/complete proof systems.",conf/icail/ParentT17
ICAIL,1995,cnl|intro,prior-art,med,452,15,https://dl.acm.org/doi/pdf/10.1145/222092.222202,Automated Legislative Drafting: Generating Paraphrases of Legislation,Radboud Winkels; Nienke den Haan,Generates NL paraphrases from deep-structure legislative representations,conf/icail/WinkelsH95
ICAIL,1993,intro|determinacy-frontier,prior-art,high,220,13,https://dl.acm.org/doi/pdf/10.1145/158976.158988,Legal Interpretation in Expert Systems,Daniel Poulin; Paul Bratley; Jacques Frémont; Ejan Mackaay,Legal expert system recasting interpreted statute/case-law text into formal legal rules,conf/icail/PoulinBFM93
ICAIL,2021,bounded-deontics|fm-in-law,method-to-borrow,high,823,13,https://cronfa.swan.ac.uk/Record/cronfa56727/Download/56727__19747__f61cb7fc6dc9481f959390a34cc038c0.pdf,Towards compliance checking in reified I/O logic via SHACL,Livio Robaldo,Reified I/O logic norm compliance checking via SHACL constraint validation.,conf/icail/Robaldo21
ICAIL,2001,intro,prior-art,high,945,13,,Automated reasoning with legal XML documents,Laurence L. Leff,Jess expert system over contract/court-filing XML to grant summary judgment.,conf/icail/Leff01
ICAIL,2023,intro,example,high,657,12,http://arxiv.org/pdf/2308.02032v1,JusticeBot: A Methodology for Building Augmented Intelligence Tools for Laypeople to Increase Access to Justice,Hannes Westermann; Karim Benyekhlef,JusticeBot: hybrid rule/case-based legal decision-support wizard for laypeople (landlord-tenant).,conf/icail/WestermannB23
ICAIL,1989,determinacy-frontier,prior-art,med,961,12,https://dl.acm.org/doi/pdf/10.1145/74014.74038,A Specialized Expert System for Judicial Decision Support,V. P. Pethe; C. P. Rippey; Laxmikant V. Kalé,Explicitly separates automatable rigid rules from judge-reserved ambiguity/discretion.,conf/icail/PetheRK89
ICAIL,2005,intro,prior-art,high,408,11,,Dynamics of Legal Provisions and its Representation,Jacek Martinek; Jolanta Cybulka,"Event-calculus model of legal-provision dynamics (enact/repeal/amend), implementable in Prolog",conf/icail/MartinekC05
ICAIL,2007,determinacy-frontier|intro,supports,high,1190,11,,Representational complexity in law,Harry Surden; Michael R. Genesereth; Bret Logu,Representational complexity measure for which legal rules are amenable to computational representation,conf/icail/SurdenGL07
ICAIL,2021,intro|determinacy-frontier,prior-art,high,15,10,https://figshare.com/articles/conference_contribution/Converting_copyright_legislation_into_machine-executable_code_interpretation_coding_validation_and_legal_alignment/27593496,"Converting copyright legislation into machine-executable code: interpretation, coding validation and legal alignment",Alice Witt; Anna Huggins; Guido Governatori; Joshua Buckley,Converting copyright legislation to machine-executable code; divergent coder interpretations.,conf/icail/WittHGB21
ICAIL,2017,determinacy-frontier,prior-art,high,65,10,https://inria.hal.science/hal-01672343v1/document,Combining fuzzy logic and formal argumentation for legal interpretation,Célia da Costa Pereira; Andrea G. B. Tettamanzi; Beishui Liao; Alessandra Malerba; Antonino Rotolo; Leendert W. N. van der Torre,Fuzzy logic + argumentation for vagueness/open-texture in legal interpretation.,conf/icail/PereiraTLMRT17
ICAIL,1997,intro,prior-art,high,312,10,https://dl.acm.org/doi/pdf/10.1145/261618.261633,Formalization of Legislative Documents Based on a Functional Model,Daniela Tiscornia; Fabrizio Turchi,Functional-model formalization of legislative documents for drafting support,conf/icail/TiscorniaT97
ICAIL,2015,intro,prior-art,high,869,10,https://pure.uva.nl/ws/files/2740128/170690_At_Your_Service_On_the_Definition_of_Services_from_Sources_of_Law_published_version_.pdf,"At your service, on the definition of services from sources of law",Tom M. van Engers; Robert van Doesburg,Dutch IND translates NL immigration rules to computer-executable specifications.,conf/icail/EngersD15
ICAIL,2023,determinacy-frontier,prior-art,high,257,9,https://dl.acm.org/doi/pdf/10.1145/3594536.3595148,Reasoning with hierarchies of open-textured predicates,Ilaria Canavotto; John F. Horty,Precedential constraint over hierarchies of open-textured legal predicates,conf/icail/CanavottoH23
ICAIL,1993,intro|fm-in-law,prior-art,high,1201,9,,Developing Legal Knowledge Based Systems Using Decision Tables,Jan Vanthienen; F. Robben,Decision-table-based legal KBS (HANDIPAK) used for testing consistency of legal knowledge,conf/icail/VanthienenR93
ICAIL,2023,bounded-deontics|determinacy-frontier,prior-art,high,26,8,https://hdl.handle.net/11585/961928,Deontic Ambiguities in Legal Reasoning,Guido Governatori; Antonino Rotolo,Deontic ambiguity propagation/blocking across norms in Defeasible Deontic Logic.,conf/icail/GovernatoriR23
ICAIL,2003,bounded-deontics,prior-art,high,341,8,,Positive and Negative Expectations and the Deontic Nature of Social Conventions,Cristiano Castelfranchi; Luca Tummolini,"Analyzes deontic nature of social conventions via expectations, prescription, permission",conf/icail/CastelfranchiT03
ICAIL,1993,bounded-deontics,prior-art,high,419,8,,Violation of Norms,Tina Smith,"Analysis of Chisholm's paradox: violability vs defeasibility, factual vs deontic detachment",conf/icail/Smith93
ICAIL,2001,bounded-deontics,prior-art,med,534,8,,Norms and time in agent-based systems,Tiberiu Stratulat; Françoise Clérin-Debart; Patrice Enjalbert,First-order model of normative agent systems with violation detection over time,conf/icail/StratulatCE01
ICAIL,1997,intro,prior-art,high,897,8,,More than wyshful Thinking: AustLII&apos;s Legal Inferencing via the World Wide Web,Graham Greenleaf; Andrew Mowbray; Geoffrey King; Simon Cant; Philip Chung,AustLII's web-deployed rule-based legal inferencing (wysh/DataLex); rules-as-code precursor.,conf/icail/GreenleafMKCC97
ICAIL,2017,determinacy-frontier,prior-art,high,167,7,http://hdl.handle.net/2318/1650088,Compliance patterns: harnessing value modeling and legal interpretation to manage regulatory conversations,Robert Muthuri; Guido Boella; Joris Hulstijn; Sara Capecchi; Llio Humphreys,Explicitly addresses law's open texture requiring interpretation before compliance application,conf/icail/MuthuriBHCH17
ICAIL,2003,intro|determinacy-frontier,prior-art,med,508,7,,Improving Legal Quality - an application report,Tom M. van Engers; Margherita R. Boekenoogen,"POWER method translating legislation into processes/programs, detects anomalies",conf/icail/EngersB03
ICAIL,2021,intro|fm-in-law,prior-art,high,606,7,https://ink.library.smu.edu.sg/ccla/7,Constraint answer set programming as a tool to improve legislative drafting: a rules as code experiment,Jason Morris,Constraint answer-set programming rules-as-code experiment for legislative drafting.,conf/icail/Morris21
ICAIL,1993,intro,prior-art,med,847,7,https://dl.acm.org/doi/pdf/10.1145/158976.158997,Beyond Knowledge Representation: Commercial Uses for Legal Knowledge Bases,Surendra Dayal; Michael Harmer; Peter Johnson; David Mead,SoftLaw: legislation modeled as computer-processable rules for admin business apps.,conf/icail/DayalHJM93
ICAIL,2017,determinacy-frontier,prior-art,high,95,6,,A logical architecture for dynamic legal interpretation,Juliano S. A. Maranhão,Input/output-logic architecture for dynamic legal interpretation as theory revision.,conf/icail/Maranhao17
ICAIL,2017,bounded-deontics,prior-art,high,103,6,http://hdl.handle.net/11585/626954,Changes to temporary norms,Matteo Cristani; Francesco Olivieri; Antonino Rotolo,"Operators for modifying temporary norms (extend/anticipate, preserve/void effects).",conf/icail/CristaniOR17
ICAIL,2019,determinacy-frontier,prior-art,med,190,6,,Value assessment and revision in legal interpretation,Juliano Maranhão; Giovanni Sartor,Constructive legal interpretation as theory revision over balancing-values/deontological i/o logic,conf/icail/MaranhaoS19
ICAIL,1995,cnl|intro,method-to-borrow,high,275,6,https://dl.acm.org/doi/pdf/10.1145/222092.222224,A Computational Framework for Dialectical Reasoning,Pierre St-Vincent; Daniel Poulin; Paul Bratley,Meta-level rule system preserving isomorphic representation of legal knowledge,conf/icail/St-VincentPB95
ICAIL,2001,bounded-deontics,prior-art,high,695,6,,An action-based ontology of legal relations,Guido Boella; Lyda Favali; Leonardo Lesmo,Action-based ontology defining obligation to describe Hohfeldian legal relations (A-Hohfeld language).,conf/icail/BoellaFL01
ICAIL,2023,intro|cnl,method-to-borrow,high,1019,6,,Improving Translation of Case Descriptions into Logical Fact Formulas using LegalCaseNER,May Myo Zin; Ha-Thanh Nguyen; Ken Satoh; Saku Sugawara; Fumihito Nishino,NER pipeline translating natural-language case descriptions into PROLEG logical fact formulas.,conf/icail/ZinNSSN23
ICAIL,2017,determinacy-frontier|intro,prior-art,high,298,5,https://research.rug.nl/en/publications/c93c1d4a-bbc8-4e5b-af86-bfe381ac460e,On making autonomous vehicles respect traffic law: a case study for dutch law,Henry Prakken,Evaluates AV traffic-law compliance designs against exceptions/vagueness in Dutch law,conf/icail/Prakken17
ICAIL,1987,bounded-deontics,prior-art,high,394,5,https://dl.acm.org/doi/pdf/10.1145/41735.41754,On the Relationship Between Permission and Obligation,A. J. I. Jones,Classic critique of McCarty's dynamic-logic semantics for permission and obligation,conf/icail/Jones87
ICAIL,2011,bounded-deontics|intro,prior-art,med,547,5,,Modelling semantic profiles in legislative documents for enhanced norm accessibility,Tommaso Agnoloni; Enrico Francesconi,RDF/OWL modelling of Hohfeldian legal relations between legislative provisions,conf/icail/AgnoloniF11
ICAIL,2021,fm-in-law|intro,prior-art,high,747,5,,Interactive system for arranging issues based on PROLEG in civil litigation,Ken Satoh; Kazuko Takahashi; Tatsuki Kawasaki,Interactive PROLEG-based system arranging disputed issues in Japanese civil litigation; logic-programming legal reasoning.,conf/icail/SatohTK21
ICAIL,1989,bounded-deontics,prior-art,high,895,5,https://dl.acm.org/doi/pdf/10.1145/74014.74036,A Sketch of Logic Without Truth,Carlos E. Alchourrón; Antonio A. Martino,Foundational Jorgensen's-dilemma/deontic-logic paper by Alchourron & Martino.,conf/icail/AlchourronM89
ICAIL,2001,intro,prior-art,med,1244,5,,Design and implementation of GungaWeb: an application of classical expert system technology to the production of Web-based commercial systems,David E. Woodin,Expert system auto-generating web-based legal advisory apps; app-generation precursor.,conf/icail/Woodin01
ICAIL,2021,intro,prior-art,high,216,4,,Practical tools from formal models: the ECHR as a case study,Katie Atkinson; Joe Collenette; Trevor J. M. Bench-Capon; Kanstantsin Dzehtsiarou,"Executable ANGELIC model + interface collecting facts and giving explanations for ECHR, directly parallel to L4 citizen wizards",conf/icail/AtkinsonCBD21
ICAIL,1997,bounded-deontics,prior-art,high,266,4,,Distinguishing Different Roles in Normative Reasoning,Leendert W. N. van der Torre; Yao-Hua Tan,Diagnostic vs decision-theoretic frameworks for reasoning about norm violations/goals,conf/icail/TorreT97
ICAIL,2009,intro|bounded-deontics,prior-art,high,267,4,http://www.ifi.uio.no/~gerardo/icail09.pdf,Abstract specification of legal contracts,Cristian Prisacariu; Gerardo Schneider,CL: action-based deontic language for abstract specification of legal contracts,conf/icail/PrisacariuS09
ICAIL,1997,intro,prior-art,high,358,4,https://dl.acm.org/doi/pdf/10.1145/261618.261623,Achieving Fluency in Modernized and Formalized Hohfeld: Puzzles and Games for the LEGAL RELATIONS Language,Layman E. Allen; Charles S. Saxon,"LEGAL RELATIONS Language: formalized Hohfeldian language for legal analysis, puzzles/games for fluency",conf/icail/AllenS97
ICAIL,2019,bounded-deontics|intro,prior-art,high,393,4,,"The False, the Former, and the Parish Priest",Robert van Doesburg; Tom M. van Engers,Debates deontic vs potestative (power) norms using the FLINT domain-specific language,conf/icail/DoesburgE19
ICAIL,2003,fm-in-law,method-to-borrow,high,734,4,,Modelling Legal Reasoning in a Mathematical Environment through Model-Theoretic Semantics,Samuel M. Brasil Jr.; Berilhes Borges Garcia,Translates conditional-logic legal reasoning into weighted MAXSAT to compute defeasible entailments.,conf/icail/BrasilG03
ICAIL,2001,intro|determinacy-frontier,prior-art,high,941,4,,Advisory systems for pro se litigants,Karl Branting,Pro se advisory system automating documents where no open-textured reasoning needed.,conf/icail/Branting01
ICAIL,2015,intro|determinacy-frontier,prior-art,high,1264,4,,How to ground a language for legal discourse in a prototypical perceptual semantics,L. Thorne McCarty,McCarty's Language for Legal Discourse grounded in perceptual semantics; addresses coherence.,conf/icail/McCarty15
ICAIL,2015,intro,example,high,84,3,,RuleOMS: a rule-based online management system,Mohammad Badiul Islam; Guido Governatori,RuleOMS: defeasible-logic rule engine integrated with relational DBs for regulation-driven decisions.,conf/icail/IslamG15
ICAIL,2021,bounded-deontics,prior-art,high,85,3,http://hdl.handle.net/10072/407857,Unravel legal references in defeasible deontic logic,Guido Governatori; Francesco Olivieri,Modelling and resolving cross-references between legal provisions in defeasible deontic logic.,conf/icail/GovernatoriO21
ICAIL,2017,fm-in-law,prior-art,high,214,3,,Performance improvement on legal model checking,Carlos Faciano; Sergio Mera; Fernando Schapachnik; Ana Haydée Di Iorio; Bibiana Luz Clara; Verónica Uriarte; María Fernanda Giaccaglia; María Belén Ruffa; Cristian Marcos,"FormaLex model checker for legal-document coherence, applied to a real consumer-protection act",conf/icail/FacianoMSICUGRM17
ICAIL,2013,determinacy-frontier,prior-art,high,276,3,,Vagueness in law: a stimulus for &apos;artificial intelligence &amp; law&apos;,Doris Liebwald,Analyzes vagueness in legal language as challenge/opportunity for AI&Law,conf/icail/Liebwald13
ICAIL,2003,bounded-deontics|fm-in-law,prior-art,high,373,3,,Specifying and Reasoning with Institutional Agents,Filipe Santos; Olga Pacheco,"Role-based deontic/action modal logic for institutional agents, automated via tableaux theorem proving",conf/icail/SantosP03
ICAIL,2005,determinacy-frontier,prior-art,high,411,3,,A Taxonomy for Modelling Discretionary Decision Making in the Legal Domain,Uri J. Schild; John Zeleznikow,Taxonomy of legal discretion and open texture for modeling discretionary decision-making,conf/icail/SchildZ05
ICAIL,2013,bounded-deontics,prior-art,high,89,2,https://inria.hal.science/hal-00907879/document,A deontic logic semantics for licenses composition in the web of data,Antonino Rotolo; Serena Villata; Fabien Gandon,Deontic-logic semantics (permission/obligation/prohibition) for Web-of-Data license composition.,conf/icail/RotoloVG13
ICAIL,2019,bounded-deontics|fm-in-law,prior-art,high,126,2,https://arxiv.org/pdf/1810.09993,Automated reasoning in normative detachment structures with ideal conditions,Tomer Libal; Matteo Pascucci,"Bimodal logic for contrary-to-duty reasoning, deontic paradoxes, mechanized query-answering on legal text",conf/icail/LibalP19
ICAIL,2023,intro|determinacy-frontier,supports,high,211,2,https://ruj.uj.edu.pl/xmlui/handle/item/324349,Identification of Legislative Errors,Michal Araszkiewicz; Enrico Francesconi; Tomasz Zurek,"Detects legislative drafting errors via formal comparison of provision semantics, akin to L4's bug-finding claim",conf/icail/AraszkiewiczFZ23
ICAIL,2025,cnl|intro,method-to-borrow,high,291,2,https://doi.org/10.1145/3769126.3769222,Towards Machine-Readable Traffic Laws: Formalizing Traffic Rules into PROLOG Using LLMs,May Myo Zin; Georg Borges; Ken Satoh; Wachara Fungwacharakorn,LLM pipeline: traffic rules to Logical English then PROLOG for AV compliance,conf/icail/ZinBSF25
ICAIL,2023,intro|bounded-deontics,prior-art,high,338,2,,Computable Contracts by Extracting Obligation Logic Graphs,Sergio Servantez; Nedim Lipka; Alexa F. Siu; Milan Aggarwal; Balaji Krishnamurthy; Aparna Garimella; Kristian J. Hammond; Rajiv Jain,Extracts Obligation Logic Graphs from NL contracts to generate computable-contract code,conf/icail/ServantezLSAKGH23
ICAIL,1991,intro,prior-art,high,429,2,https://dl.acm.org/doi/pdf/10.1145/112646.112659,Knowledge-Based Approaches to Government Benefits Analysis,Marc Lauritsen,"Knowledge-based modeling of government benefits rules, analogous to rules-as-code benefits domain",conf/icail/Lauritsen91
ICAIL,2001,cnl|intro,prior-art,high,1149,2,,AustLII&apos;s Aide - Natural language legislative rulebases,Russell Allen; Philip Chung; Andrew Mowbray; Graham Greenleaf,"AustLII Aide: quasi-natural-language KR close to statutory language, usable by predicate-calculus inference engine",conf/icail/AllenCMG01
ICAIL,1987,intro,prior-art,high,1314,2,https://dl.acm.org/doi/pdf/10.1145/41735.41755,System = Program + Users + Law,Naftaly H. Minsky; David Rozenshtein,Foundational law-governed-systems paper; logic programming enforcing law as executable code.,conf/icail/MinskyR87
ICAIL,2025,bounded-deontics|cnl,prior-art,high,188,1,https://doi.org/10.1145/3769126.3769257,Legal Explanation in Defeasible Deontic Logic via LegalRuleML,Guido Governatori; Monica Palmirani,Legal explanation via Defeasible Deontic Logic encoded/translated through LegalRuleML,conf/icail/GovernatoriP25
ICAIL,2017,intro|determinacy-frontier,prior-art,high,229,1,,Interpreting contracts using english common law rules as stated by Lord Hoffmann,John Henderson; Trevor J. M. Bench-Capon,"Computational procedure for contract interpretation per common-law rules, ontology-based",conf/icail/HendersonB17
ICAIL,2025,bounded-deontics,method-to-borrow,high,230,1,https://doi.org/10.1145/3769126.3769260,"&quot;Lost in EU Regulation? Don&apos;t Worry, AI Found the Obligation&quot;: Extracting and Representing Legal Obligations in the GDPR the DSA and the AI Act",Thiago Raulino Dal Pont; Federico Galli; Galileo Sartor; Giuseppe Contissa,"LLM pipeline extracting/structuring deontic obligations from GDPR, DSA, AI Act",conf/icail/PontGSC25
ICAIL,2025,determinacy-frontier,prior-art,high,305,1,https://doi.org/10.1145/3769126.3769226,DeCoRA: Definition and Context Reasoning in Argumentation,Ngoc-Duy Mai; Xuan-Bach Le; Thi-Hai-Yen Vuong; Ha-Thanh Nguyen; Kostas Stathis; Ken Satoh,DeCoRA: context-aware framework for resolving ambiguous/conflicting legal definitions,conf/icail/MaiLVNSS25
ICAIL,2023,bounded-deontics,prior-art,high,355,1,,Multi-agent logic for reasoning about duties and powers in private law,Tianwen Xu; Fengkui Ju,Multi-agent dynamic deontic logic for duties and powers in private law,conf/icail/XuJ23
ICAIL,2015,determinacy-frontier,prior-art,high,471,1,http://ruj.uj.edu.pl/xmlui/handle/item/13412,Incorporation of complex doctrinal theories in a model of statutory interpretation: an example of adequate causal link,Michal Araszkiewicz,Semi-formal model of statutory interpretation doctrine (causation),conf/icail/Araszkiewicz15
ICAIL,2021,fm-in-law|intro,prior-art,high,480,1,,Modelling legal procedures,Antonino Rotolo; Clara Smith,"Models legal procedures via PDL, treating claims/resolutions as programs",conf/icail/RotoloS21
ICAIL,2025,intro|determinacy-frontier,prior-art,high,720,1,https://doi.org/10.1145/3769126.3769131,Applying a Fidelity Approach to Choices in Encoding Legislation,Nicholas Godfrey,Experiment applying fidelity-translation models to interpretive choices when encoding legislation.,conf/icail/Godfrey25
ICAIL,1993,intro,prior-art,med,860,1,,"Controlling and Augmenting Legal Inferencing: ysh, a Case Study",Graham Greenleaf; Andrew Mowbray,DataLex/ysh inference engine: quasi-NL rule representation with explanation facility.,conf/icail/GreenleafM93
ICAIL,2003,intro,prior-art,high,928,1,,Using Configuration Technology as the Core of a Legal Decision Support System,Erik Roland van der Meer; I. S. Henriksen; Henrik Reif Andersen,"Compiles a legal act into a configuration engine, web-based decision-support system.",conf/icail/MeerHA03
ICAIL,2013,fm-in-law|intro,prior-art,high,931,1,https://www.um.edu.mt/library/oar//handle/123456789/23054,Synthesising implicit contracts,Gordon J. Pace; Fernando Schapachnik,Synthesises implicit contracts as contract automata for interactive systems.,conf/icail/PaceS13
ICAIL,1997,intro,prior-art,high,1375,1,,Determination of Residence Status for Taxation Law: Development of a Rule-Based Expert System,Rodney Fisher,Rule-based expert system determining taxpayer residence status under tax legislation,conf/icail/Fisher97
ICAIL,2025,bounded-deontics,prior-art,high,59,0,https://doi.org/10.1145/3769126.3769250,Judicial Permission,Guido Governatori; Antonino Rotolo,Judicial (weak) permission dialogue-game model in criminal trials.,conf/icail/GovernatoriR25
ICAIL,2025,bounded-deontics,prior-art,high,60,0,https://dl.acm.org/doi/10.1145/3769126.3769242,Rule-based Deontic Case-based Reasoning,Antonino Rotolo; Cecilia Di Florio; Guido Governatori,Rule-based deontic CBR framework validating AI judicial predictions via Defeasible Deontic Logic.,conf/icail/RotoloFG25
ICAIL,2025,cnl|intro,prior-art,high,163,0,https://doi.org/10.1145/3769126.3769254,"You Take the High Road, and I&apos;ll Take the Low Road: Large Language Models Logical English and the Highway Code",Thiago Raulino Dal Pont; Galileo Sartor; Adam Z. Wyner; Giovanni Sartor,"LLM + Logical English (CNL) pipeline translating traffic rules into executable rule-based framework, simulation-validated",conf/icail/PontSWS25
ICAIL,2025,bounded-deontics|determinacy-frontier,prior-art,high,243,0,,Judicial Discretion as Normative Reasoning: Deontic Characterization of Judicial Decision Making with Answer Set Programming,Josephine Dik; Réka Markovich,ASP-based deontic characterization of judicial discretion and its boundaries,conf/icail/DikM25
ICAIL,2025,fm-in-law,method-to-borrow,high,244,0,https://doi.org/10.1145/3769126.3769207,A Causal Model Checker for Legal Cases,Ruta Liepina; Tiago de Lima; Emiliano Lorini; Giuseppe Pisano; Giovanni Sartor,"Model checker (TQBF) for causal notions (NESS, actual cause) in legal cases",conf/icail/LiepinaLLPS25
ICAIL,2007,determinacy-frontier|intro,prior-art,high,284,0,,NewMINT interpretation assistance system: United States Constitution First Amendment&apos;s initial 1344 interpretations,Layman E. Allen; Adam W. Tury,NewMINT generates 1344 formal interpretations of First Amendment ambiguities,conf/icail/AllenT07
ICAIL,2025,determinacy-frontier,method-to-borrow,high,315,0,https://doi.org/10.1145/3769126.3769246,AF-XRAY: Visual Explanation and Resolution of Ambiguity in Legal Argumentation Frameworks,Yilin Xia; Heng Zheng; Shawn Bowers; Bertram Ludäscher,AF-XRAY toolkit visualizing/resolving ambiguity in legal argumentation frameworks,conf/icail/Xia0BL25
ICAIL,2009,determinacy-frontier|intro,prior-art,high,422,0,,Using critical questions to disambiguate and formalize statutory provisions,Matthias Grabmair; Kevin D. Ashley,Process model using critical questions to disambiguate statutory provisions before formalization into logic,conf/icail/GrabmairA09
